continent,year,internet_population,total_population
World,1991,4280727,5418735879
World,1992,6885825,5505989821
World,1993,9978025,5591544841
World,1994,20372971,5675551281
World,1995,39137572,5758878997
World,1996,77094037,5842055726
World,1997,120463190,5924787787
World,1998,187786430,6007066714
World,1999,280906271,6089006330
World,2000,414012675,6171703018
World,2001,502048980,6254936479
World,2002,664525411,6337730319
World,2003,780605617,6420361649
World,2004,912780834,6503377778
World,2005,1029379295,6586970145
World,2006,1160582058,6671452018
World,2007,1372292168,6757308750
World,2008,1572943471,6844457675
World,2009,1770692408,6932766459
World,2010,2021152970,7021732131
World,2011,2218882121,7110923797
World,2012,2426854827,7201202531
World,2013,2598607664,7291793608
World,2014,2793663749,7381616239
World,2015,3004582521,7470491904
World,2016,3256215846,7558554580
World,2017,3483746104,7645618013
World,2018,3795522333,7729902724
World,2019,4194081858,7811293714
World,2020,4699886462,7887001284
Africa,1991,5434,661103507
Africa,1992,16232,678557822
Africa,1993,48970,696621490
Africa,1994,112387,714502385
Africa,1995,324226,732695149
Africa,1996,451060,751473491
Africa,1997,905601,770384412
Africa,1998,1703531,789981456
Africa,1999,2901046,810079553
Africa,2000,4528437,830582527
Africa,2001,6143986,851690082
Africa,2002,9760557,873411063
Africa,2003,13583664,895734225
Africa,2004,26331356,918778215
Africa,2005,33022913,942546391
Africa,2006,40728234,966932135
Africa,2007,52232859,992055602
Africa,2008,61663151,1018065273
Africa,2009,73776525,1044777532
Africa,2010,95786792,1072216499
Africa,2011,114002144,1100148605
Africa,2012,136996780,1128843456
Africa,2013,163564665,1158780288
Africa,2014,196090388,1189220347
Africa,2015,233756129,1220075494
Africa,2016,270623010,1251208463
Africa,2017,315830314,1282902108
Africa,2018,358062725,1315409781
Africa,2019,405332496,1348005491
Africa,2020,451617356,1380821159
Asia,1991,93535,3269006373
Asia,1992,247731,3325622591
Asia,1993,763635,3380865819
Asia,1994,1489801,3434524779
Asia,1995,3260653,3487680513
Asia,1996,8197243,3540729989
Asia,1997,17670153,3593265328
Asia,1998,30690361,3645256154
Asia,1999,62646469,3696551685
Asia,2000,108432227,3747780316
Asia,2001,149729595,3798918117
Asia,2002,212798705,3848340943
Asia,2003,255222388,3896798937
Asia,2004,309201711,3945396131
Asia,2005,355153006,3993926571
Asia,2006,412809079,4042825697
Asia,2007,538535956,4091636910
Asia,2008,659909947,4140358378
Asia,2009,780240284,4189938692
Asia,2010,940345597,4239822679
Asia,2011,1069029958,4289496392
Asia,2012,1177297653,4339608796
Asia,2013,1289763369,4388941163
Asia,2014,1405035284,4436946301
Asia,2015,1522234131,4483307887
Asia,2016,1672804533,4528415170
Asia,2017,1795604552,4572478790
Asia,2018,1954712671,4613623524
Asia,2019,2225536873,4652385277
Asia,2020,2557593407,4688113349
Europe,1991,851729,726483509
Europe,1992,1516045,727616693
Europe,1993,2349541,728005909
Europe,1994,4395044,728884651
Europe,1995,8317883,729380598
Europe,1996,15143350,729369831
Europe,1997,27566810,729425133
Europe,1998,44974450,728864105
Europe,1999,76721973,728217680
Europe,2000,109142637,728164203
Europe,2001,135554289,728237719
